PipeDimensionId,Standard,StandardEdition,NPS,DN,OutsideDiameter,OutsideDiameterUnit,Schedule,WallThickness,WallThicknessUnit,InsideDiameter,InsideDiameterUnit,SourceDocumentId,SourceRecord,Status
DIM-ASMEB36-NPS1-SCHXS,ASME B36.19M,2022,1,25,33.4,mm,XS,4.55,mm,24.3,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1-SCH160,ASME B36.10M,2022,1,25,33.4,mm,160,6.35,mm,20.7,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1-SCHXXS,ASME B36.19M,2022,1,25,33.4,mm,XXS,9.09,mm,15.22,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_1_2-SCH10S,ASME B36.19M,2022,1.1/2,40,48.3,mm,10S,2.77,mm,42.76,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_1_2-SCH40,ASME B36.10M,2022,1.1/2,40,48.3,mm,40,3.68,mm,40.94,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_1_2-SCHSTD,ASME B36.10M,2022,1.1/2,40,48.3,mm,STD,3.68,mm,40.94,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_1_2-SCH80,ASME B36.10M,2022,1.1/2,40,48.3,mm,80,5.08,mm,38.14,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_1_2-SCHXS,ASME B36.19M,2022,1.1/2,40,48.3,mm,XS,5.08,mm,38.14,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_1_2-SCH160,ASME B36.10M,2022,1.1/2,40,48.3,mm,160,7.14,mm,34.02,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_1_2-SCHXXS,ASME B36.19M,2022,1.1/2,40,48.3,mm,XXS,10.15,mm,28.0,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS2-SCH10S,ASME B36.19M,2022,2,50,60.3,mm,10S,2.77,mm,54.76,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS2-SCH40,ASME B36.10M,2022,2,50,60.3,mm,40,3.91,mm,52.48,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS2-SCHSTD,ASME B36.10M,2022,2,50,60.3,mm,STD,3.91,mm,52.48,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS2-SCH80,ASME B36.10M,2022,2,50,60.3,mm,80,5.54,mm,49.22,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS2-SCHXS,ASME B36.19M,2022,2,50,60.3,mm,XS,5.54,mm,49.22,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS2-SCH160,ASME B36.10M,2022,2,50,60.3,mm,160,8.74,mm,42.82,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS2-SCHXXS,ASME B36.19M,2022,2,50,60.3,mm,XXS,11.07,mm,38.16,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3-SCH10S,ASME B36.19M,2022,3,80,88.9,mm,10S,3.05,mm,82.8,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3-SCH40,ASME B36.10M,2022,3,80,88.9,mm,40,5.49,mm,77.92,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3-SCHSTD,ASME B36.10M,2022,3,80,88.9,mm,STD,5.49,mm,77.92,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3-SCH80,ASME B36.10M,2022,3,80,88.9,mm,80,7.62,mm,73.66,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3-SCHXS,ASME B36.19M,2022,3,80,88.9,mm,XS,7.62,mm,73.66,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3-SCH160,ASME B36.10M,2022,3,80,88.9,mm,160,11.13,mm,66.64,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3-SCHXXS,ASME B36.19M,2022,3,80,88.9,mm,XXS,15.24,mm,58.42,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS4-SCH10S,ASME B36.19M,2022,4,100,114.3,mm,10S,3.05,mm,108.2,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS4-SCH40,ASME B36.10M,2022,4,100,114.3,mm,40,6.02,mm,102.26,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS4-SCHSTD,ASME B36.10M,2022,4,100,114.3,mm,STD,6.02,mm,102.26,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS4-SCH80,ASME B36.10M,2022,4,100,114.3,mm,80,8.56,mm,97.18,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS4-SCHXS,ASME B36.19M,2022,4,100,114.3,mm,XS,8.56,mm,97.18,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS4-SCH120,ASME B36.10M,2022,4,100,114.3,mm,120,11.13,mm,92.04,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS4-SCH160,ASME B36.10M,2022,4,100,114.3,mm,160,13.49,mm,87.32,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS4-SCHXXS,ASME B36.19M,2022,4,100,114.3,mm,XXS,17.12,mm,80.06,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS6-SCH10S,ASME B36.19M,2022,6,150,168.3,mm,10S,3.4,mm,161.5,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS6-SCH40,ASME B36.10M,2022,6,150,168.3,mm,40,7.11,mm,154.08,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS6-SCHSTD,ASME B36.10M,2022,6,150,168.3,mm,STD,7.11,mm,154.08,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS6-SCH80,ASME B36.10M,2022,6,150,168.3,mm,80,10.97,mm,146.36,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS6-SCHXS,ASME B36.19M,2022,6,150,168.3,mm,XS,10.97,mm,146.36,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS6-SCH120,ASME B36.10M,2022,6,150,168.3,mm,120,14.27,mm,139.76,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS6-SCH160,ASME B36.10M,2022,6,150,168.3,mm,160,18.26,mm,131.78,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS6-SCHXXS,ASME B36.19M,2022,6,150,168.3,mm,XXS,21.95,mm,124.4,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS8-SCH10S,ASME B36.19M,2022,8,200,219.1,mm,10S,3.76,mm,211.58,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS8-SCH20,ASME B36.10M,2022,8,200,219.1,mm,20,6.35,mm,206.4,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS8-SCH30,ASME B36.10M,2022,8,200,219.1,mm,30,7.04,mm,205.02,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS8-SCH40,ASME B36.10M,2022,8,200,219.1,mm,40,8.18,mm,202.74,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS8-SCHSTD,ASME B36.10M,2022,8,200,219.1,mm,STD,8.18,mm,202.74,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS8-SCH80,ASME B36.10M,2022,8,200,219.1,mm,80,12.7,mm,193.7,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS8-SCHXS,ASME B36.19M,2022,8,200,219.1,mm,XS,12.7,mm,193.7,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS8-SCH120,ASME B36.10M,2022,8,200,219.1,mm,120,18.26,mm,182.58,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS8-SCH160,ASME B36.10M,2022,8,200,219.1,mm,160,23.01,mm,173.08,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS8-SCHXXS,ASME B36.19M,2022,8,200,219.1,mm,XXS,22.23,mm,174.64,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS10-SCH10S,ASME B36.19M,2022,10,250,273.0,mm,10S,4.19,mm,264.62,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS10-SCH20,ASME B36.10M,2022,10,250,273.0,mm,20,6.35,mm,260.3,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS10-SCH30,ASME B36.10M,2022,10,250,273.0,mm,30,7.8,mm,257.4,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS10-SCH40,ASME B36.10M,2022,10,250,273.0,mm,40,9.27,mm,254.46,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS10-SCHSTD,ASME B36.10M,2022,10,250,273.0,mm,STD,9.27,mm,254.46,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS10-SCH60,ASME B36.10M,2022,10,250,273.0,mm,60,12.7,mm,247.6,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS10-SCH80,ASME B36.10M,2022,10,250,273.0,mm,80,15.09,mm,242.82,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS10-SCHXS,ASME B36.19M,2022,10,250,273.0,mm,XS,12.7,mm,247.6,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS10-SCH120,ASME B36.10M,2022,10,250,273.0,mm,120,21.44,mm,230.12,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS10-SCH160,ASME B36.10M,2022,10,250,273.0,mm,160,28.58,mm,215.84,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS12-SCH10S,ASME B36.19M,2022,12,300,323.8,mm,10S,4.57,mm,314.66,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS12-SCH20,ASME B36.10M,2022,12,300,323.8,mm,20,6.35,mm,311.1,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS12-SCH30,ASME B36.10M,2022,12,300,323.8,mm,30,8.38,mm,307.04,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS12-SCH40,ASME B36.10M,2022,12,300,323.8,mm,40,10.31,mm,303.18,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS12-SCHSTD,ASME B36.10M,2022,12,300,323.8,mm,STD,9.53,mm,304.74,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS12-SCH60,ASME B36.10M,2022,12,300,323.8,mm,60,14.27,mm,295.26,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS12-SCH80,ASME B36.10M,2022,12,300,323.8,mm,80,17.48,mm,288.84,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS12-SCHXS,ASME B36.19M,2022,12,300,323.8,mm,XS,12.7,mm,298.4,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS12-SCH120,ASME B36.10M,2022,12,300,323.8,mm,120,25.4,mm,273.0,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS12-SCH160,ASME B36.10M,2022,12,300,323.8,mm,160,33.32,mm,257.16,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS14-SCH10S,ASME B36.19M,2022,14,350,355.6,mm,10S,4.78,mm,346.04,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS14-SCH10,ASME B36.10M,2022,14,350,355.6,mm,10,6.35,mm,342.9,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS14-SCH20,ASME B36.10M,2022,14,350,355.6,mm,20,7.92,mm,339.76,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS14-SCH30,ASME B36.10M,2022,14,350,355.6,mm,30,9.53,mm,336.54,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS14-SCH40,ASME B36.10M,2022,14,350,355.6,mm,40,11.13,mm,333.34,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS14-SCHSTD,ASME B36.10M,2022,14,350,355.6,mm,STD,9.53,mm,336.54,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS14-SCH60,ASME B36.10M,2022,14,350,355.6,mm,60,15.09,mm,325.42,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS14-SCH80,ASME B36.10M,2022,14,350,355.6,mm,80,19.05,mm,317.5,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS14-SCHXS,ASME B36.19M,2022,14,350,355.6,mm,XS,12.7,mm,330.2,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS14-SCH120,ASME B36.10M,2022,14,350,355.6,mm,120,27.79,mm,300.02,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS14-SCH160,ASME B36.10M,2022,14,350,355.6,mm,160,35.71,mm,284.18,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS16-SCH10S,ASME B36.19M,2022,16,400,406.4,mm,10S,4.78,mm,396.84,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS16-SCH10,ASME B36.10M,2022,16,400,406.4,mm,10,6.35,mm,393.7,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS16-SCH20,ASME B36.10M,2022,16,400,406.4,mm,20,7.92,mm,390.56,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS16-SCH30,ASME B36.10M,2022,16,400,406.4,mm,30,9.53,mm,387.34,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS16-SCH40,ASME B36.10M,2022,16,400,406.4,mm,40,12.7,mm,381.0,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS16-SCHSTD,ASME B36.10M,2022,16,400,406.4,mm,STD,9.53,mm,387.34,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS16-SCH60,ASME B36.10M,2022,16,400,406.4,mm,60,16.66,mm,373.08,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS16-SCH80,ASME B36.10M,2022,16,400,406.4,mm,80,21.44,mm,363.52,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS16-SCHXS,ASME B36.19M,2022,16,400,406.4,mm,XS,12.7,mm,381.0,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS16-SCH120,ASME B36.10M,2022,16,400,406.4,mm,120,30.96,mm,344.48,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS16-SCH160,ASME B36.10M,2022,16,400,406.4,mm,160,40.49,mm,325.42,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS18-SCH10S,ASME B36.19M,2022,18,450,457.0,mm,10S,4.78,mm,447.44,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS18-SCH10,ASME B36.10M,2022,18,450,457.0,mm,10,6.35,mm,444.3,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS18-SCH20,ASME B36.10M,2022,18,450,457.0,mm,20,7.92,mm,441.16,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS18-SCHSTD,ASME B36.10M,2022,18,450,457.0,mm,STD,9.53,mm,437.94,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS18-SCH40,ASME B36.10M,2022,18,450,457.0,mm,40,14.27,mm,428.46,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS18-SCH80,ASME B36.10M,2022,18,450,457.0,mm,80,23.83,mm,409.34,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS18-SCHXS,ASME B36.19M,2022,18,450,457.0,mm,XS,12.7,mm,431.6,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS18-SCH120,ASME B36.10M,2022,18,450,457.0,mm,120,34.93,mm,387.14,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS18-SCH160,ASME B36.10M,2022,18,450,457.0,mm,160,45.24,mm,366.52,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS20-SCH10S,ASME B36.19M,2022,20,500,508.0,mm,10S,5.54,mm,496.92,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS20-SCH10,ASME B36.10M,2022,20,500,508.0,mm,10,6.35,mm,495.3,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS20-SCH20,ASME B36.10M,2022,20,500,508.0,mm,20,9.53,mm,488.94,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS20-SCHSTD,ASME B36.10M,2022,20,500,508.0,mm,STD,9.53,mm,488.94,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS20-SCH40,ASME B36.10M,2022,20,500,508.0,mm,40,15.09,mm,477.82,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS20-SCH80,ASME B36.10M,2022,20,500,508.0,mm,80,26.19,mm,455.62,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS20-SCHXS,ASME B36.19M,2022,20,500,508.0,mm,XS,12.7,mm,482.6,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS20-SCH120,ASME B36.10M,2022,20,500,508.0,mm,120,38.1,mm,431.8,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS20-SCH160,ASME B36.10M,2022,20,500,508.0,mm,160,50.01,mm,407.98,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS24-SCH10S,ASME B36.19M,2022,24,600,610.0,mm,10S,6.35,mm,597.3,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS24-SCH10,ASME B36.10M,2022,24,600,610.0,mm,10,6.35,mm,597.3,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS24-SCH20,ASME B36.10M,2022,24,600,610.0,mm,20,9.53,mm,590.94,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS24-SCHSTD,ASME B36.10M,2022,24,600,610.0,mm,STD,9.53,mm,590.94,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS24-SCH40,ASME B36.10M,2022,24,600,610.0,mm,40,17.48,mm,575.04,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS24-SCH80,ASME B36.10M,2022,24,600,610.0,mm,80,30.96,mm,548.08,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS24-SCHXS,ASME B36.19M,2022,24,600,610.0,mm,XS,12.7,mm,584.6,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS24-SCH120,ASME B36.10M,2022,24,600,610.0,mm,120,46.02,mm,517.96,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS24-SCH160,ASME B36.10M,2022,24,600,610.0,mm,160,59.54,mm,490.92,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
