PipingClassRecordId,PipingClassId,ComponentFamily,NPS,DN,Schedule,NominalWallThickness,WallThicknessUnit,MaterialId,PressureClass,BranchType,BranchNPS,BranchDN,BranchSchedule,BranchWallThickness,Standard,SourceDocumentId,SourceRecord,Revision,Status
PC-B1-PIPE-6,B1,PIPE,6,150,10S,3.40,mm,MAT-A312-TP316L,150,,,,,,ASME B36.19M,DOC-PMS-B1,PIPE-6,3,ACTIVE
PC-B1-PIPE-8,B1,PIPE,8,200,10S,3.76,mm,MAT-A312-TP316L,150,,,,,,ASME B36.19M,DOC-PMS-B1,PIPE-8,3,ACTIVE
PC-B1-PIPE-12,B1,PIPE,12,300,10S,4.57,mm,MAT-A312-TP316L,150,,,,,,ASME B36.19M,DOC-PMS-B1,PIPE-12,3,ACTIVE
PC-B1-WELDOLET-2X6,B1,WELDOLET,6,150,10S,3.40,mm,MAT-A182-F316L,150,WELDOLET,2,50,10S,2.77,MSS SP-97,DOC-PMS-B1,BRANCH-2X6,3,ACTIVE
PC-B1-TEE-6X6,B1,TEE,6,150,10S,3.40,mm,MAT-A312-TP316L,150,WELDED_TEE,6,150,10S,3.40,ASME B16.9,DOC-PMS-B1,TEE-6X6,3,ACTIVE
PC-C1-PIPE-2,C1,PIPE,2,50,40,3.91,mm,MAT-A790-S31803,300,,,,,,ASME B36.10M,DOC-PMS-C1,PIPE-2,2,ACTIVE
PC-C1-PIPE-4,C1,PIPE,4,100,40,6.02,mm,MAT-A790-S31803,300,,,,,,ASME B36.10M,DOC-PMS-C1,PIPE-4,2,ACTIVE
PC-C1-PIPE-6,C1,PIPE,6,150,40,7.11,mm,MAT-A790-S31803,300,,,,,,ASME B36.10M,DOC-PMS-C1,PIPE-6,2,ACTIVE
PC-C1-PIPE-8,C1,PIPE,8,200,40,8.18,mm,MAT-A790-S31803,300,,,,,,ASME B36.10M,DOC-PMS-C1,PIPE-8,2,ACTIVE
PC-C1-PIPE-10,C1,PIPE,10,250,40,9.27,mm,MAT-A790-S31803,300,,,,,,ASME B36.10M,DOC-PMS-C1,PIPE-10,2,ACTIVE
PC-C1-PIPE-12,C1,PIPE,12,300,STD,9.53,mm,MAT-A790-S31803,300,,,,,,ASME B36.10M,DOC-PMS-C1,PIPE-12,2,ACTIVE
PC-C1-WELDOLET-2X6,C1,WELDOLET,6,150,40,7.11,mm,MAT-A182-F51,300,WELDOLET,2,50,40,3.91,MSS SP-97,DOC-PMS-C1,BRANCH-2X6,2,ACTIVE
PC-C1-TEE-6X6,C1,TEE,6,150,40,7.11,mm,MAT-A790-S31803,300,WELDED_TEE,6,150,40,7.11,ASME B16.9,DOC-PMS-C1,TEE-6X6,2,ACTIVE
