method_id,edition,coefficient_family,coefficient_id,load_component,stress_component,stress_class,target_location,surface,parameter_1_name,parameter_1_value,parameter_2_name,parameter_2_value,parameter_3_name,parameter_3_value,coefficient_value,published_precision,source_page,source_section,source_equation,source_table,source_figure,source_note,extraction_method,extraction_confidence,review_status
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Max,P,sigma_x,membrane,MAX_OFF_JUNCTURE,BOTH,gamma,5,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,52,Curve Fit Table for SP-2,Eq. Y,SP-2,Fig SP-2,Curve fit coefficients a-j for Nx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Max,P,sigma_x,bending,MAX_OFF_JUNCTURE,BOTH,gamma,5,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,52,Curve Fit Table for SP-2,Eq. Y,SP-2,Fig SP-2,Curve fit coefficients a-j for Mx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Memb,P,sigma_x,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,54,Curve Fit Table for SP-3,Eq. Y,SP-3,Fig SP-3,Curve fit coefficients a-j for NxT/P from radial load. Errata: Incorrect range for right side axis for NxT(RmT)^0.5/M cosq,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Ny_Memb,P,sigma_y,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,54,Curve Fit Table for SP-3,Eq. Y,SP-3,Fig SP-3,Curve fit coefficients a-j for NyT/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Bend,P,sigma_x,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,54,Curve Fit Table for SP-3,Eq. Y,SP-3,Fig SP-3,Curve fit coefficients a-j for Mx/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_My_Bend,P,sigma_y,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,54,Curve Fit Table for SP-3,Eq. Y,SP-3,Fig SP-3,Curve fit coefficients a-j for My/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Max,P,sigma_x,membrane,MAX_OFF_JUNCTURE,BOTH,gamma,5,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,54,Curve Fit Table for SP-3,Eq. Y,SP-3,Fig SP-3,Curve fit coefficients a-j for Nx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Max,P,sigma_x,bending,MAX_OFF_JUNCTURE,BOTH,gamma,5,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,54,Curve Fit Table for SP-3,Eq. Y,SP-3,Fig SP-3,Curve fit coefficients a-j for Mx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Memb,P,sigma_x,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,56,Curve Fit Table for SP-4,Eq. Y,SP-4,Fig SP-4,Curve fit coefficients a-j for NxT/P from radial load,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Ny_Memb,P,sigma_y,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,56,Curve Fit Table for SP-4,Eq. Y,SP-4,Fig SP-4,Curve fit coefficients a-j for NyT/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Bend,P,sigma_x,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,56,Curve Fit Table for SP-4,Eq. Y,SP-4,Fig SP-4,Curve fit coefficients a-j for Mx/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_My_Bend,P,sigma_y,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,56,Curve Fit Table for SP-4,Eq. Y,SP-4,Fig SP-4,Curve fit coefficients a-j for My/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Max,P,sigma_x,membrane,MAX_OFF_JUNCTURE,BOTH,gamma,5,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,56,Curve Fit Table for SP-4,Eq. Y,SP-4,Fig SP-4,Curve fit coefficients a-j for Nx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Max,P,sigma_x,bending,MAX_OFF_JUNCTURE,BOTH,gamma,5,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,56,Curve Fit Table for SP-4,Eq. Y,SP-4,Fig SP-4,Curve fit coefficients a-j for Mx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Memb,P,sigma_x,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,58,Curve Fit Table for SP-5,Eq. Y,SP-5,Fig SP-5,Curve fit coefficients a-j for NxT/P from radial load,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Ny_Memb,P,sigma_y,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,58,Curve Fit Table for SP-5,Eq. Y,SP-5,Fig SP-5,Curve fit coefficients a-j for NyT/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Bend,P,sigma_x,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,58,Curve Fit Table for SP-5,Eq. Y,SP-5,Fig SP-5,Curve fit coefficients a-j for Mx/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_My_Bend,P,sigma_y,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,58,Curve Fit Table for SP-5,Eq. Y,SP-5,Fig SP-5,Curve fit coefficients a-j for My/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Max,P,sigma_x,membrane,MAX_OFF_JUNCTURE,BOTH,gamma,15,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,58,Curve Fit Table for SP-5,Eq. Y,SP-5,Fig SP-5,Curve fit coefficients a-j for Nx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Max,P,sigma_x,bending,MAX_OFF_JUNCTURE,BOTH,gamma,15,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,58,Curve Fit Table for SP-5,Eq. Y,SP-5,Fig SP-5,Curve fit coefficients a-j for Mx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Memb,P,sigma_x,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,60,Curve Fit Table for SP-6,Eq. Y,SP-6,Fig SP-6,Curve fit coefficients a-j for NxT/P from radial load,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Ny_Memb,P,sigma_y,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,60,Curve Fit Table for SP-6,Eq. Y,SP-6,Fig SP-6,Curve fit coefficients a-j for NyT/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Bend,P,sigma_x,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,60,Curve Fit Table for SP-6,Eq. Y,SP-6,Fig SP-6,Curve fit coefficients a-j for Mx/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_My_Bend,P,sigma_y,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,60,Curve Fit Table for SP-6,Eq. Y,SP-6,Fig SP-6,Curve fit coefficients a-j for My/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Max,P,sigma_x,membrane,MAX_OFF_JUNCTURE,BOTH,gamma,15,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,60,Curve Fit Table for SP-6,Eq. Y,SP-6,Fig SP-6,Curve fit coefficients a-j for Nx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Max,P,sigma_x,bending,MAX_OFF_JUNCTURE,BOTH,gamma,15,rho,2.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,60,Curve Fit Table for SP-6,Eq. Y,SP-6,Fig SP-6,Curve fit coefficients a-j for Mx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Memb,P,sigma_x,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,62,Curve Fit Table for SP-7,Eq. Y,SP-7,Fig SP-7,Curve fit coefficients a-j for NxT/P from radial load,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Ny_Memb,P,sigma_y,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,62,Curve Fit Table for SP-7,Eq. Y,SP-7,Fig SP-7,Curve fit coefficients a-j for NyT/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Bend,P,sigma_x,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,62,Curve Fit Table for SP-7,Eq. Y,SP-7,Fig SP-7,Curve fit coefficients a-j for Mx/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_My_Bend,P,sigma_y,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,62,Curve Fit Table for SP-7,Eq. Y,SP-7,Fig SP-7,Curve fit coefficients a-j for My/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Max,P,sigma_x,membrane,MAX_OFF_JUNCTURE,BOTH,gamma,15,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,62,Curve Fit Table for SP-7,Eq. Y,SP-7,Fig SP-7,Curve fit coefficients a-j for Nx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Max,P,sigma_x,bending,MAX_OFF_JUNCTURE,BOTH,gamma,15,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,62,Curve Fit Table for SP-7,Eq. Y,SP-7,Fig SP-7,Curve fit coefficients a-j for Mx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Memb,P,sigma_x,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,64,Curve Fit Table for SP-8,Eq. Y,SP-8,Fig SP-8,Curve fit coefficients a-j for NxT/P from radial load,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Ny_Memb,P,sigma_y,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,64,Curve Fit Table for SP-8,Eq. Y,SP-8,Fig SP-8,Curve fit coefficients a-j for NyT/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Bend,P,sigma_x,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,64,Curve Fit Table for SP-8,Eq. Y,SP-8,Fig SP-8,Curve fit coefficients a-j for Mx/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_My_Bend,P,sigma_y,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,15,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,64,Curve Fit Table for SP-8,Eq. Y,SP-8,Fig SP-8,Curve fit coefficients a-j for My/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Max,P,sigma_x,membrane,MAX_OFF_JUNCTURE,BOTH,gamma,15,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,64,Curve Fit Table for SP-8,Eq. Y,SP-8,Fig SP-8,Curve fit coefficients a-j for Nx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Max,P,sigma_x,bending,MAX_OFF_JUNCTURE,BOTH,gamma,15,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,64,Curve Fit Table for SP-8,Eq. Y,SP-8,Fig SP-8,Curve fit coefficients a-j for Mx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Memb,P,sigma_x,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,50,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,66,Curve Fit Table for SP-9,Eq. Y,SP-9,Fig SP-9,Curve fit coefficients a-j for NxT/P from radial load,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Ny_Memb,P,sigma_y,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,50,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,66,Curve Fit Table for SP-9,Eq. Y,SP-9,Fig SP-9,Curve fit coefficients a-j for NyT/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Bend,P,sigma_x,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,50,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,66,Curve Fit Table for SP-9,Eq. Y,SP-9,Fig SP-9,Curve fit coefficients a-j for Mx/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_My_Bend,P,sigma_y,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,50,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,66,Curve Fit Table for SP-9,Eq. Y,SP-9,Fig SP-9,Curve fit coefficients a-j for My/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Max,P,sigma_x,membrane,MAX_OFF_JUNCTURE,BOTH,gamma,50,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,66,Curve Fit Table for SP-9,Eq. Y,SP-9,Fig SP-9,Curve fit coefficients a-j for Nx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Max,P,sigma_x,bending,MAX_OFF_JUNCTURE,BOTH,gamma,50,rho,4.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,66,Curve Fit Table for SP-9,Eq. Y,SP-9,Fig SP-9,Curve fit coefficients a-j for Mx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Memb,P,sigma_x,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,50,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,68,Curve Fit Table for SP-10,Eq. Y,SP-10,Fig SP-10,Curve fit coefficients a-j for NxT/P from radial load,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Ny_Memb,P,sigma_y,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,50,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,68,Curve Fit Table for SP-10,Eq. Y,SP-10,Fig SP-10,Curve fit coefficients a-j for NyT/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Bend,P,sigma_x,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,50,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,68,Curve Fit Table for SP-10,Eq. Y,SP-10,Fig SP-10,Curve fit coefficients a-j for Mx/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_My_Bend,P,sigma_y,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,50,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,68,Curve Fit Table for SP-10,Eq. Y,SP-10,Fig SP-10,Curve fit coefficients a-j for My/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Max,P,sigma_x,membrane,MAX_OFF_JUNCTURE,BOTH,gamma,50,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,68,Curve Fit Table for SP-10,Eq. Y,SP-10,Fig SP-10,Curve fit coefficients a-j for Nx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Max,P,sigma_x,bending,MAX_OFF_JUNCTURE,BOTH,gamma,50,rho,10.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,68,Curve Fit Table for SP-10,Eq. Y,SP-10,Fig SP-10,Curve fit coefficients a-j for Mx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SM,SM_MOMENT_Nx_Memb,M1/M2,sigma_x,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,70,Curve Fit Table for SM-1,Eq. Y,SM-1,Fig SM-1,Curve fit coefficients a-j for NxT(RmT)^0.5/M from moment,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SM,SM_MOMENT_Ny_Memb,M1/M2,sigma_y,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,70,Curve Fit Table for SM-1,Eq. Y,SM-1,Fig SM-1,Curve fit coefficients a-j for NyT(RmT)^0.5/M,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SM,SM_MOMENT_Mx_Bend,M1/M2,sigma_x,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,70,Curve Fit Table for SM-1,Eq. Y,SM-1,Fig SM-1,Curve fit coefficients a-j for Mx(RmT)^0.5/M,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SM,SM_MOMENT_My_Bend,M1/M2,sigma_y,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,70,Curve Fit Table for SM-1,Eq. Y,SM-1,Fig SM-1,Curve fit coefficients a-j for My(RmT)^0.5/M,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SM,SM_MOMENT_Nx_Max,M1/M2,sigma_x,membrane,MAX_OFF_JUNCTURE,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,70,Curve Fit Table for SM-1,Eq. Y,SM-1,Fig SM-1,Curve fit coefficients a-j for Nx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SM,SM_MOMENT_Mx_Max,M1/M2,sigma_x,bending,MAX_OFF_JUNCTURE,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,70,Curve Fit Table for SM-1,Eq. Y,SM-1,Fig SM-1,Curve fit coefficients a-j for Mx(max),DIRECT_TABLE,HIGH,EXTRACTED
